GEO_ID,FIPS,NAME,S1903_C03_001E
1400000U,6037137202,Census Tract 1372.02; Los Angeles County; California,69526
1400000U,6037137203,Census Tract 1372.03; Los Angeles County; California,149519
1400000U,6037137301,Census Tract 1373.01; Los Angeles County; California,188857
1400000U,6037137302,Census Tract 1373.02; Los Angeles County; California,176523
1400000U,6037137401,Census Tract 1374.01; Los Angeles County; California,146406
1400000U,6037137402,Census Tract 1374.02; Los Angeles County; California,143672
1400000U,6037137501,Census Tract 1375.01; Los Angeles County; California,98555
1400000U,6037137502,Census Tract 1375.02; Los Angeles County; California,144450
1400000U,6037137504,Census Tract 1375.04; Los Angeles County; California,208750
1400000U,6037138000,Census Tract 1380; Los Angeles County; California,139855
1400000U,6037139001,Census Tract 1390.01; Los Angeles County; California,113972
1400000U,6037139200,Census Tract 1392; Los Angeles County; California,96690
1400000U,6037139301,Census Tract 1393.01; Los Angeles County; California,162708
1400000U,6037139302,Census Tract 1393.02; Los Angeles County; California,82066
1400000U,6037139303,Census Tract 1393.03; Los Angeles County; California,67891
1400000U,6037139401,Census Tract 1394.01; Los Angeles County; California,81815
1400000U,6037139402,Census Tract 1394.02; Los Angeles County; California,159926
1400000U,6037139502,Census Tract 1395.02; Los Angeles County; California,126875
1400000U,6037139504,Census Tract 1395.04; Los Angeles County; California,59178
1400000U,6037139505,Census Tract 1395.05; Los Angeles County; California,44913
1400000U,6037139506,Census Tract 1395.06; Los Angeles County; California,58295
1400000U,6037139600,Census Tract 1396; Los Angeles County; California,90900
1400000U,6037139701,Census Tract 1397.01; Los Angeles County; California,183688
1400000U,6037139703,Census Tract 1397.03; Los Angeles County; California,240083
1400000U,6037139704,Census Tract 1397.04; Los Angeles County; California,136913
1400000U,6037139705,Census Tract 1397.05; Los Angeles County; California,"250,000+"
1400000U,6037139801,Census Tract 1398.01; Los Angeles County; California,205000
1400000U,6037139802,Census Tract 1398.02; Los Angeles County; California,229792
1400000U,6037141101,Census Tract 1411.01; Los Angeles County; California,85000
1400000U,6037141102,Census Tract 1411.02; Los Angeles County; California,114009
1400000U,6037141201,Census Tract 1412.01; Los Angeles County; California,95735
1400000U,6037141202,Census Tract 1412.02; Los Angeles County; California,109297
1400000U,6037141303,Census Tract 1413.03; Los Angeles County; California,85878
1400000U,6037141304,Census Tract 1413.04; Los Angeles County; California,112781
1400000U,6037141305,Census Tract 1413.05; Los Angeles County; California,108036
1400000U,6037141306,Census Tract 1413.06; Los Angeles County; California,102917
1400000U,6037141400,Census Tract 1414; Los Angeles County; California,109961
1400000U,6037141500,Census Tract 1415; Los Angeles County; California,215272
1400000U,6037141600,Census Tract 1416; Los Angeles County; California,207841
1400000U,6037141700,Census Tract 1417; Los Angeles County; California,"250,000+"
1400000U,6037143101,Census Tract 1431.01; Los Angeles County; California,105254
1400000U,6037143102,Census Tract 1431.02; Los Angeles County; California,107647
1400000U,6037143200,Census Tract 1432; Los Angeles County; California,86250
1400000U,6037143301,Census Tract 1433.01; Los Angeles County; California,95234
1400000U,6037143302,Census Tract 1433.02; Los Angeles County; California,115875
1400000U,6037143401,Census Tract 1434.01; Los Angeles County; California,114750
1400000U,6037143402,Census Tract 1434.02; Los Angeles County; California,127083
1400000U,6037143500,Census Tract 1435; Los Angeles County; California,156825
1400000U,6037143602,Census Tract 1436.02; Los Angeles County; California,105542
1400000U,6037143603,Census Tract 1436.03; Los Angeles County; California,92663
1400000U,6037143605,Census Tract 1436.05; Los Angeles County; California,112716
1400000U,6037143606,Census Tract 1436.06; Los Angeles County; California,99750
1400000U,6037143700,Census Tract 1437; Los Angeles County; California,176534
